track,time,event,note,velocity
1,0,Note_on,65,112
1,0,Note_on,53,112
1,0,Note_off,65,63
1,0,Note_on,67,112
1,1,Note_off,67,63
1,1,Note_on,69,112
1,1,Note_off,69,63
1,1,Note_on,65,112
1,2,Note_off,53,63
1,2,Note_off,65,63
1,2,Note_on,65,112
1,2,Note_on,53,112
1,2,Note_off,65,63
1,2,Note_on,67,112
1,3,Note_off,67,63
1,3,Note_on,69,112
1,3,Note_off,69,63
1,3,Note_on,65,112
1,4,Note_off,53,63
1,4,Note_off,65,63
1,4,Note_on,69,112
1,4,Note_on,53,112
1,4,Note_off,69,63
1,4,Note_on,70,112
1,5,Note_off,70,63
1,5,Note_on,72,112
1,6,Note_off,53,63
1,6,Note_off,72,63
1,6,Note_on,69,112
1,6,Note_on,53,112
1,6,Note_off,69,63
1,6,Note_on,70,112
1,7,Note_off,70,63
1,7,Note_on,72,112
1,8,Note_off,53,63
1,8,Note_off,72,63
1,8,Note_on,72,112
1,8,Note_on,48,112
1,8,Note_off,72,63
1,8,Note_on,74,112
1,8,Note_off,74,63
1,8,Note_on,72,112
1,9,Note_off,72,63
1,9,Note_on,70,112
1,9,Note_off,48,63
1,9,Note_off,70,63
1,9,Note_on,69,112
1,9,Note_on,53,112
1,10,Note_off,69,63
1,10,Note_on,65,112
1,10,Note_off,53,63
1,10,Note_off,65,63
1,10,Note_on,72,112
1,10,Note_on,48,112
1,10,Note_off,72,63
1,10,Note_on,74,112
1,11,Note_off,74,63
1,11,Note_on,72,112
1,11,Note_off,72,63
1,11,Note_on,70,112
1,11,Note_off,48,63
1,11,Note_off,70,63
1,11,Note_on,69,112
1,11,Note_on,53,112
1,12,Note_off,69,63
1,12,Note_on,65,112
1,12,Note_off,53,63
1,12,Note_off,65,63
1,12,Note_on,67,112
1,12,Note_on,48,112
1,13,Note_off,67,63
1,13,Note_on,60,112
1,13,Note_off,48,63
1,13,Note_off,60,63
1,13,Note_on,65,112
1,13,Note_on,53,112
1,14,Note_off,65,63
1,14,Note_off,53,63
1,14,Note_on,67,112
1,14,Note_on,48,112
1,15,Note_off,67,63
1,15,Note_on,60,112
1,15,Note_off,48,63
1,15,Note_off,60,63
1,15,Note_on,65,112
1,15,Note_on,53,112
1,16,Note_off,65,63
1,16,Note_off,53,63
1,16,Note_on,65,112
1,16,Note_on,53,112
1,17,Note_off,65,63
1,17,Note_on,67,112
1,17,Note_off,67,63
1,17,Note_on,69,112
1,18,Note_off,69,63
1,18,Note_on,65,112
1,18,Note_off,53,63
1,18,Note_off,65,63
1,18,Note_on,65,112
1,18,Note_on,53,112
1,19,Note_off,65,63
1,19,Note_on,67,112
1,19,Note_off,67,63
1,19,Note_on,69,112
1,20,Note_off,69,63
1,20,Note_on,65,112
1,20,Note_off,53,63
1,20,Note_off,65,63
1,21,Note_on,69,112
1,21,Note_on,53,112
1,21,Note_off,69,63
1,21,Note_on,70,112
1,22,Note_off,70,63
1,22,Note_on,72,112
1,23,Note_off,53,63
1,23,Note_off,72,63
1,23,Note_on,69,112
1,23,Note_on,53,112
1,23,Note_off,69,63
1,23,Note_on,70,112
1,24,Note_off,70,63
1,24,Note_on,72,112
1,25,Note_off,53,63
1,25,Note_off,72,63
1,25,Note_on,72,112
1,25,Note_on,48,112
1,25,Note_off,72,63
1,25,Note_on,74,112
1,25,Note_off,74,63
1,25,Note_on,72,112
1,26,Note_off,72,63
1,26,Note_on,70,112
1,26,Note_off,48,63
1,26,Note_off,70,63
1,26,Note_on,69,112
1,26,Note_on,53,112
1,26,Note_off,69,63
1,26,Note_on,65,112
1,27,Note_off,53,63
1,27,Note_off,65,63
1,27,Note_on,72,112
1,27,Note_on,48,112
1,27,Note_off,72,63
1,27,Note_on,74,112
1,27,Note_off,74,63
1,27,Note_on,72,112
1,28,Note_off,72,63
1,28,Note_on,70,112
1,28,Note_off,48,63
1,28,Note_off,70,63
1,28,Note_on,69,112
1,28,Note_on,53,112
1,28,Note_off,69,63
1,28,Note_on,65,112
1,29,Note_off,53,63
1,29,Note_off,65,63
1,29,Note_on,67,112
1,29,Note_on,48,112
1,29,Note_off,67,63
1,29,Note_on,60,112
1,30,Note_off,48,63
1,30,Note_off,60,63
1,30,Note_on,65,112
1,30,Note_on,53,112
1,31,Note_off,65,63
1,31,Note_off,53,63
1,31,Note_on,67,112
1,31,Note_on,48,112
1,32,Note_off,67,63
1,32,Note_on,60,112
1,32,Note_off,48,63
1,32,Note_off,60,63
1,32,Note_on,65,112
1,32,Note_on,53,112
1,33,Note_off,65,63
1,33,Note_off,53,63
